,iters,delta,resid
0,1,0.2522508598557773,1.0
1,2,0.1944268628089972,0.7707678892359752
2,3,0.1691088232692534,0.6703993927550544
3,4,0.14326243483808407,0.5679363587501483
4,5,0.12059052210308938,0.4780579228631221
5,6,0.10095335276500136,0.40021014327848387
6,7,0.08365038774350667,0.331615867598363
7,8,0.0688637374741918,0.27299703760599353
8,9,0.05659808030739387,0.2243721997211563
9,10,0.0465841285491851,0.18467381469311647
10,11,0.03850240590063406,0.1526353802030548
11,12,0.032011090234551245,0.1269018081954344
12,13,0.026822692377618095,0.10633340315649978
13,14,0.022695919717887782,0.08997360695168302
14,15,0.019387411418829558,0.07685766236798629
15,16,0.016718478376109406,0.066277190831651
16,17,0.014561214866952448,0.05772513471421951
17,18,0.012785297787684122,0.050684853145769385
18,19,0.01130399069410326,0.0448124961816433
19,20,0.010062109207596192,0.03988929597048404
20,21,0.008997671070562565,0.03566953577762599
21,22,0.00807552641019098,0.0320138706952599
22,23,0.007275015652610042,0.028840399817742873
23,24,0.0065661066161270005,0.0260300663390449
24,25,0.005936473377850687,0.0235340065094122
25,26,0.005378464625930445,0.021321888175150506
26,27,0.004875209079475469,0.019326828389258366
27,28,0.004423413716691143,0.017535772600419285
28,29,0.004019597149611221,0.015934919515871615
29,30,0.0036524224529137046,0.014479326076438162
30,31,0.003322179838102367,0.013170142769787986
31,32,0.003026577252706178,0.011998283194898134
32,33,0.002757035560131579,0.010929737015397673
33,34,0.002515361500423895,0.009971666704573522
34,35,0.0022995555892981277,0.009116145691685184
35,36,0.0021027973945254796,0.008336135685435283
36,37,0.001927550138153732,0.007641401655700188
37,38,0.0017718495193586273,0.007024156509800087
38,39,0.0016302375858996692,0.0064627632462055705
39,40,0.001505386179059096,0.0059678138656089836
40,41,0.0013952918592590366,0.005531366117272249
41,42,0.0012956556072706781,0.0051363773666082265
42,43,0.0012090565093384013,0.00479307190480806
43,44,0.001133446216486229,0.004493329446465592
44,45,0.0010655375547152547,0.004224118622725286
45,46,0.0010075989080502632,0.003994432005608827
46,47,0.0009575907815420514,0.0037961844097956585
47,48,0.0009131082158138741,0.0036198418365588035
48,49,0.0008759900084853231,0.0034726938452703973
49,50,0.0008443158634378,0.003347127791439568
50,51,0.0008164372801087073,0.003236608511762853
51,52,0.0007937535405098538,0.0031466831905495865
52,53,0.0007745850360585485,0.0030706933427359262
53,54,0.0007579012566921643,0.003004553709452128
54,55,0.0007447230530601927,0.002952311256683063
55,56,0.0007336827516648243,0.0029085441059915613
56,57,0.0007242124762241674,0.0028710010211193374
57,58,0.0007170345830499825,0.002842545644680626
58,59,0.0007110955848041205,0.0028190016288177754
59,60,0.0007061386356100637,0.0027993507574713273
60,61,0.0007026595827815746,0.0027855587219140325
61,62,0.0006998768553943168,0.0027745271345931853
62,63,0.0006977208306261333,0.0027659799892260045
63,64,0.0006965198374561069,0.0027612188828784853
64,65,0.0006957080042229977,0.0027580005262252197
65,66,0.0006953157210686175,0.0027564453951362533
66,67,0.0006955509525991589,0.0027573779252797613
67,68,0.000696010906957664,0.002759201325837317
68,69,0.0006967710104621456,0.0027622146099344114
69,70,0.0006979555993661281,0.0027669106847254335
70,71,0.0006992819115443706,0.002772168594169235
71,72,0.0007008387553517966,0.002778340401901886
72,73,0.0007026944838534429,0.002785697080498373
73,74,0.0007046532161841454,0.002793462097956876
74,75,0.0007068005740297,0.0028019748849768384
75,76,0.0007091689713245332,0.0028113639403647456
76,77,0.0007116246284829955,0.002821098920692925
77,78,0.0007142424694508767,0.0028314768475288456
78,79,0.0007170329820023016,0.002842539297635141
79,80,0.0007199062676687563,0.002853929885830153
80,81,0.0007229241451270846,0.0028658936803641092
81,82,0.0007260846259879635,0.002878422798650112
82,83,0.0007293284510752955,0.002891282319086183
83,84,0.0007327045935501903,0.002904666386346946
84,85,0.0007362047238081868,0.002918541979318157
85,86,0.0007397906976058939,0.0029327578824859682
86,87,0.0007435001359334657,0.002947463237027445
87,88,0.0007473221785822811,0.0029626149897350506
88,89,0.0007512330186515892,0.0029781187627312814
89,90,0.0007552608462844138,0.002994086310414279
90,91,0.000759394505142208,0.003010473405626396
91,92,0.000763619758951745,0.003027223611401521
92,93,0.0007679572908831442,0.00304441892218809
93,94,0.000772396850296765,0.003062018701297501
94,95,0.0007769304629065901,0.003079991336207119
95,96,0.0007815730291327981,0.003098395896765851
96,97,0.0007863157552127501,0.0031171975217936655
97,98,0.0007911546663376906,0.003136380453926017
98,99,0.0007961003289334784,0.0031559865817252066
99,100,0.0008011455670403389,0.003175987457479386
