,iters,delta,resid
0,1,0.3944202677444216,1.0
1,2,0.2532094950837451,0.6419789138417729
2,3,0.17686830577330648,0.44842600707303015
3,4,0.11814411875000541,0.2995386606921554
4,5,0.0762903891634167,0.19342410976925686
5,6,0.04853640094191407,0.12305757313000185
6,7,0.030865400490732206,0.07825510759688575
7,8,0.019798249126459534,0.050195820918839035
8,9,0.012864940305160416,0.03261734083476841
9,10,0.008484495216753384,0.021511306366870604
10,11,0.005677540411945456,0.014394646716340692
11,12,0.003850543102275049,0.009762538634982476
12,13,0.002642987567555974,0.006700942582566751
13,14,0.0018329231101716762,0.004647132158430008
14,15,0.0012822932762506932,0.0032510836311322616
15,16,0.0009035907637799129,0.0022909339039479237
16,17,0.0006404549224901702,0.0016237880628010104
17,18,0.00045608334083582433,0.001156338500158819
18,19,0.00032597388788738256,0.0008264633299691604
19,20,0.00023365054991871578,0.0005923898162102509
20,21,0.00016784129147214772,0.0004255392159028356
21,22,0.00012077034723484824,0.00030619711285502613
22,23,8.701164176816123e-05,0.0002206064162619135
23,24,6.274918588118628e-05,0.00015909219432366203
24,25,4.5285842221336175e-05,0.00011481621489766067
25,26,3.269973630835598e-05,8.290582148670145e-05
26,27,2.3621849228214622e-05,5.989004916836901e-05
27,28,1.706891105226786e-05,4.327594813998826e-05
28,29,1.233682983549499e-05,3.127838715298751e-05
29,30,8.918022474827766e-06,2.261045692663686e-05
30,31,6.447436373723352e-06,1.6346615275615513e-05
31,32,4.66173073819829e-06,1.1819196728549109e-05
32,33,3.370752385927739e-06,8.546093245167536e-06
33,34,2.4374574355423537e-06,6.17984833660139e-06
34,35,1.7625735457025077e-06,4.468770217570646e-06
35,36,1.274620137170734e-06,3.2316294100701435e-06
36,37,9.217391895310645e-07,2.3369468176729307e-06
37,38,6.665754257682949e-07,1.6900131161624178e-06
38,39,4.82046899337606e-07,1.2221656409654374e-06
39,40,3.48602756192702e-07,8.838358084039939e-07
40,41,2.521057561330869e-07,6.391805308962724e-07
41,42,1.8231580105028387e-07,4.6223740502187245e-07
42,43,1.3185233804400992e-07,3.342940229671299e-07
43,44,9.535325767283001e-08,2.41755471183485e-07
